timestamp,model,symbol,strategy_equity,benchmark_equity
2022-07-04 00:00:00,logreg_full,BTCUSD,1.0,0.9972596314874725
2022-07-05 00:00:00,logreg_full,BTCUSD,1.0,1.0164318215213177
2022-07-06 00:00:00,logreg_full,BTCUSD,1.0,1.069394303852892
2022-07-07 00:00:00,logreg_full,BTCUSD,1.0,1.0684414333428491
2022-07-08 00:00:00,logreg_full,BTCUSD,1.0,1.067720596202074
2022-07-09 00:00:00,logreg_full,BTCUSD,1.0,1.0312651359720495
2022-07-10 00:00:00,logreg_full,BTCUSD,1.0,0.986810214019862
2022-07-11 00:00:00,logreg_full,BTCUSD,1.0,0.9552635706126028
2022-07-12 00:00:00,logreg_full,BTCUSD,1.0,1.000350771127529
2022-07-13 00:00:00,logreg_full,BTCUSD,1.0,1.018003612596295
2022-07-14 00:00:00,logreg_full,BTCUSD,1.0,1.0303196865718973
2022-07-15 00:00:00,logreg_full,BTCUSD,1.0,1.048372278493475
2022-07-16 00:00:00,logreg_full,BTCUSD,1.0,1.0289863604947604
2022-07-17 00:00:00,logreg_full,BTCUSD,1.0,1.1093099802549002
2022-07-18 00:00:00,logreg_full,BTCUSD,1.0,1.1573067505878756
2022-07-19 00:00:00,logreg_full,BTCUSD,1.0,1.1490648659425973
2022-07-20 00:00:00,logreg_full,BTCUSD,1.0,1.1454027955815704
2022-07-21 00:00:00,logreg_full,BTCUSD,1.0,1.1222845540481912
2022-07-22 00:00:00,logreg_full,BTCUSD,1.0,1.1106586432924799
2022-07-23 00:00:00,logreg_full,BTCUSD,1.0,1.1176824764342659
2022-07-24 00:00:00,logreg_full,BTCUSD,1.0,1.054600073914255
2022-07-25 00:00:00,logreg_full,BTCUSD,1.0,1.0515984823335536
2022-07-26 00:00:00,logreg_full,BTCUSD,1.0,1.1358345112283872
2022-07-27 00:00:00,logreg_full,BTCUSD,1.0,1.1799287672398573
2022-07-28 00:00:00,logreg_full,BTCUSD,1.0,1.1766412155580113
2022-07-29 00:00:00,logreg_full,BTCUSD,1.0,1.170071059600913
2022-07-30 00:00:00,logreg_full,BTCUSD,1.0,1.152975790855313
2022-07-31 00:00:00,logreg_full,BTCUSD,1.0,1.1515524219781617
2022-08-01 00:00:00,logreg_full,BTCUSD,1.0,1.1374458815561181
2022-08-02 00:00:00,logreg_full,BTCUSD,1.0,1.1292232917965572
2022-08-03 00:00:00,logreg_full,BTCUSD,1.0,1.119215677737809
2022-08-04 00:00:00,logreg_full,BTCUSD,1.0,1.1536055957147553
2022-08-05 00:00:00,logreg_full,BTCUSD,1.0,1.1358889327009238
2022-08-06 00:00:00,logreg_full,BTCUSD,1.0,1.14670050033123
2022-08-07 00:00:00,logreg_full,BTCUSD,1.0,1.1783173969121268
2022-08-08 00:00:00,logreg_full,BTCUSD,1.0,1.1456140498431437
2022-08-09 00:00:00,logreg_full,BTCUSD,1.0,1.1856400534122031
2022-08-10 00:00:00,logreg_full,BTCUSD,1.0,1.184412601836182
2022-08-11 00:00:00,logreg_full,BTCUSD,1.0,1.2077801926619092
2022-08-12 00:00:00,logreg_full,BTCUSD,1.0,1.2100653997677704
2022-08-13 00:00:00,logreg_full,BTCUSD,1.0,1.2029891241160855
2022-08-14 00:00:00,logreg_full,BTCUSD,1.0,1.1921676616725911
2022-08-15 00:00:00,logreg_full,BTCUSD,1.0,1.1802211589695755
2022-08-16 00:00:00,logreg_full,BTCUSD,1.0,1.1545228448973206
2022-08-17 00:00:00,logreg_full,BTCUSD,1.0,1.147711750239085
2022-08-18 00:00:00,logreg_full,BTCUSD,1.0,1.0305111512070946
2022-08-19 00:00:00,logreg_full,BTCUSD,1.0,1.0459782284425432
2022-08-20 00:00:00,logreg_full,BTCUSD,1.0,1.0642999592828453
2022-08-21 00:00:00,logreg_full,BTCUSD,1.0,1.0585965889610511
2022-08-22 00:00:00,logreg_full,BTCUSD,1.0,1.0651078707796784
2022-08-23 00:00:00,logreg_full,BTCUSD,1.0,1.0571331460904867
2022-08-24 00:00:00,logreg_full,BTCUSD,1.0,1.0666024823117861
2022-08-25 00:00:00,logreg_full,BTCUSD,1.0,1.0015272644156312
2022-08-26 00:00:00,logreg_full,BTCUSD,1.0,0.9914533551085205
2022-08-27 00:00:00,logreg_full,BTCUSD,1.0,0.967333758480475
2022-08-28 00:00:00,logreg_full,BTCUSD,1.0377274535937897,1.0038287979632532
2022-08-29 00:00:00,logreg_full,BTCUSD,1.0377274535937897,0.9802123525858378
2022-08-30 00:00:00,logreg_full,BTCUSD,1.0377274535937897,0.9924655944976938
2022-08-31 00:00:00,logreg_full,BTCUSD,1.0377274535937897,0.9960598853883804
2022-09-01 00:00:00,logreg_full,BTCUSD,1.0377274535937897,0.9872134276572907
2022-09-02 00:00:00,logreg_full,BTCUSD,1.0377274535937897,0.9811726442057722
2022-09-03 00:00:00,logreg_full,BTCUSD,1.0377274535937897,0.9895990671170144
2022-09-04 00:00:00,logreg_full,BTCUSD,1.0377274535937897,0.9793450722098745
2022-09-05 00:00:00,logreg_full,BTCUSD,1.0377274535937897,0.9296369939359652
2022-09-06 00:00:00,logreg_full,BTCUSD,1.0377274535937897,0.9543809532761989
2022-09-07 00:00:00,logreg_full,BTCUSD,1.0377274535937897,0.9559646181270025
2022-09-08 00:00:00,logreg_full,BTCUSD,1.0377274535937897,1.056814038365161
2022-09-09 00:00:00,logreg_full,BTCUSD,1.0377274535937897,1.0711432120839435
2022-09-10 00:00:00,logreg_full,BTCUSD,1.0377274535937897,1.0800188595139388
2022-09-11 00:00:00,logreg_full,BTCUSD,1.0377274535937897,1.1082190771008809
2022-09-12 00:00:00,logreg_full,BTCUSD,1.0377274535937897,0.9980774377974952
2022-09-13 00:00:00,logreg_full,BTCUSD,1.0377274535937897,1.0009098280726751
2022-09-14 00:00:00,logreg_full,BTCUSD,1.0377274535937897,0.9745520247014133
2022-09-15 00:00:00,logreg_full,BTCUSD,1.0377274535937897,0.9796062952780484
2022-09-16 00:00:00,logreg_full,BTCUSD,1.0377274535937897,0.9950243931882143
2022-09-17 00:00:00,logreg_full,BTCUSD,1.0377274535937897,0.960686917721167
2022-09-18 00:00:00,logreg_full,BTCUSD,1.0377274535937897,0.9667395749485117
2022-09-19 00:00:00,logreg_full,BTCUSD,1.0377274535937897,0.9340837229828327
2022-09-20 00:00:00,logreg_full,BTCUSD,1.0377274535937897,0.9135005325883216
2022-09-21 00:00:00,logreg_full,BTCUSD,1.0377274535937897,0.9599596489518196
2022-09-22 00:00:00,logreg_full,BTCUSD,1.0377274535937897,0.9542735945531052
2022-09-23 00:00:00,logreg_full,BTCUSD,1.0377274535937897,0.9361111702051363
2022-09-24 00:00:00,logreg_full,BTCUSD,1.0377274535937897,0.930587885483371
2022-09-25 00:00:00,logreg_full,BTCUSD,1.0377274535937897,0.9512057077240414
2022-09-26 00:00:00,logreg_full,BTCUSD,1.0377274535937897,0.9439028408503425
2022-09-27 00:00:00,logreg_full,BTCUSD,1.0377274535937897,0.9604974320486092
2022-09-28 00:00:00,logreg_full,BTCUSD,1.0377274535937897,0.969196951803851
2022-09-29 00:00:00,logreg_full,BTCUSD,1.0377274535937897,0.9611148683915652
2022-09-30 00:00:00,logreg_full,BTCUSD,1.0377274535937897,0.9554490983598871
2022-10-01 00:00:00,logreg_full,BTCUSD,1.0377274535937897,0.9428638854655604
