timestamp,close,high,low,trade_count,open,volume,vwap,symbol,ret_1,sma_20,ema_20,rsi_14,volume_z20,date,sentiment_mean,sentiment_count,forward_return,target_up,prob_up,signal,strategy_return,benchmark_return,strategy_equity,benchmark_equity
2024-10-01 00:00:00+00:00,60838.4405,64127.52,60190.355,183,63348.0,6.075582902,62066.7627371116,BTCUSD,-0.0388445512625943,62438.395575,62531.91339116216,45.937221146786456,1.5303700005424037,2024-10-01,0.1669763525327046,3,-0.003238832198534,0,0.384999,0,-0.0,-0.003238832198534,1.0,0.996761167801466
2024-10-02 00:00:00+00:00,60641.395,62364.36,59970.561,151,60772.751,0.936190033,61287.1354835319,BTCUSD,-0.003238832198534,62563.5245,62351.86402057529,45.32477735146075,-0.5496193051820104,2024-10-02,0.5589594841003418,1,0.002302470119627,1,0.667516,1,0.002302470119627,0.002302470119627,1.002302470119627,0.9990561806067334
2024-10-03 00:00:00+00:00,60781.02,61464.0,59869.758312655,109,60658.23,1.341013014,60847.3434033954,BTCUSD,0.002302470119627,62573.089175,62202.25982813955,45.87542949036784,-0.3336919063522303,2024-10-03,-0.1717685163021087,2,0.0216181465858915,1,0.6933724,1,0.0216181465858915,0.0216181465858915,1.0239703918420744,1.0206539235666308
2024-10-04 00:00:00+00:00,62094.993,62469.2875,60453.235,100,60792.4,1.953355402,61802.1092412587,BTCUSD,0.0216181465858915,62676.972325,62192.04393974531,50.88822867588294,-0.0639981359153965,2024-10-04,-0.8488054871559143,1,6.760609506795134e-05,1,0.74911803,1,6.760609506795134e-05,6.760609506795134e-05,1.024039618481732,1.0207229259928188
2024-10-05 00:00:00+00:00,62099.191,62381.274,61709.445,36,62107.395,0.206787786,62114.1028125141,BTCUSD,6.760609506795134e-05,62822.44445000001,62183.20080262671,50.90387361035472,-0.7642900012348597,2024-10-05,-0.030234158039093,2,0.0121645868140214,1,0.8113955,1,0.0121645868140214,0.0121645868140214,1.0364966373217503,1.0331395986391203
2024-10-06 00:00:00+00:00,62854.602,62970.5045,61810.3685,47,62093.692,1.405073773,62499.6314790233,BTCUSD,0.0121645868140214,63055.319350000005,62247.14377380512,53.75847734833606,-0.293871675591595,2024-10-06,0.0,0,-0.0093467619125168,0,0.33959776,0,-0.0,-0.0093467619125168,1.0364966373217503,1.0234830887882473
2024-10-07 00:00:00+00:00,62267.115,64443.824,62126.75,122,62804.585,2.267809941,63613.622942629,BTCUSD,-0.0093467619125168,63151.6336,62249.04579534748,51.26218549512794,0.1002228475249625,2024-10-07,0.7468546628952026,2,-0.0018938809032665,0,0.4262875,0,-0.0,-0.0018938809032665,1.0364966373217503,1.021544733711575
2024-10-08 00:00:00+00:00,62149.1885,64014.0,61845.41,82,62278.175,0.866669534,62469.0241325975,BTCUSD,-0.0018938809032665,63171.780025,62239.53557674296,50.75273071006096,-0.5039133523971943,2024-10-08,-0.3381235003471374,3,-0.0252062502795188,0,0.4562566,0,-0.0,-0.0252062502795188,1.0364966373217503,0.9957954214819167
2024-10-09 00:00:00+00:00,60582.6405,62520.2,60313.1648746895,80,62176.6,0.780705214,61958.990031726,BTCUSD,-0.0252062502795188,63053.919550000006,62081.73604562458,44.435132675438,-0.4921884061898424,2024-10-09,0.5768579045931498,3,-0.0050301620643292,0,0.50067276,0,-0.0,-0.0050301620643292,1.0364966373217503,0.9907864091289457
2024-10-10 00:00:00+00:00,60277.9,61259.234,58885.24,121,60614.2835,2.645875732,60014.7918484177,BTCUSD,-0.0050301620643292,62907.93422500001,61909.94213651748,43.30583066353786,0.8848818639335878,2024-10-10,-0.9445329904556274,1,0.0362303846019851,1,0.79771715,1,0.0362303846019851,0.0362303846019851,1.0740493091305816,1.026682981790107
2024-10-11 00:00:00+00:00,62461.7915,63405.125,60033.4,117,60273.425,2.991107441,62863.3678984705,BTCUSD,0.0362303846019851,62860.3058,61962.49921875391,52.60245055591231,1.0411355489233691,2024-10-11,-0.2313703417778015,5,0.0117976683393719,1,0.7920527,1,0.0117976683393719,0.0117976683393719,1.0867205866598357,1.0387954470989442
2024-10-12 00:00:00+00:00,63198.695,63446.91336272,62461.3615,46,62538.09,0.149859108,62929.6962073813,BTCUSD,0.0117976683393719,62838.01487499999,62080.23215030116,55.26789861028212,-1.0554791005577389,2024-10-12,0.0,0,-0.0058462441352625,0,0.4479487,0,-0.0,-0.0058462441352625,1.0867205866598357,1.0327223953086047
2024-10-13 00:00:00+00:00,62829.22,63285.76,62042.5855,42,63230.36,0.216566992,62607.2879674992,BTCUSD,-0.0058462441352625,62812.8585,62151.56432646295,53.639145319969344,-0.9556982337675094,2024-10-13,0.0,0,0.0513190200355822,1,0.54006535,0,0.0,0.0513190200355822,1.0867205866598357,1.0857206966046413
2024-10-14 00:00:00+00:00,66053.554,66476.470277078,62451.624,206,62837.3725,6.389558091,64842.6542232857,BTCUSD,0.0513190200355822,62900.20645,62523.18239060933,63.69444615951789,2.6317286672196505,2024-10-14,0.0161812901496887,2,0.0149917444260456,1,0.54097027,0,0.0,0.0149917444260456,1.0867205866598357,1.1019975438062064
2024-10-15 00:00:00+00:00,67043.812,67926.179,64806.65,169,66110.4005,3.294656509,66578.7171415814,BTCUSD,0.0149917444260456,63094.89315,62953.71854388464,66.12453379544417,0.7771489947462482,2024-10-15,0.4599455893039703,2,0.0086687791559345,1,0.56607676,1,0.0086687791559345,0.0086687791559345,1.0961411274297974,1.1115505171438447
2024-10-16 00:00:00+00:00,67625.0,68386.6455,66776.2,203,67112.6,3.566741722,67761.2988957326,BTCUSD,0.0086687791559345,63218.54014999999,63398.6024920861,67.49949954610983,0.8801813003409233,2024-10-16,0.4497197866439819,2,-0.0026316451016635,0,0.5433863,0,-0.0,-0.0026316451016635,1.0961411274297974,1.1086253106701516
2024-10-17 00:00:00+00:00,67447.035,67937.02,66648.4,125,67600.0,0.983118249,67176.5624942762,BTCUSD,-0.0026316451016635,63302.8219,63784.167492839806,66.6079706068382,-0.5329257544969226,2024-10-17,0.9160982370376588,1,0.0147063914670229,1,0.54638755,0,0.0,0.0147063914670229,1.0961411274297974,1.1249291884791166
