accuracy,f1,strategy_cum_return,benchmark_cum_return,strategy_sharpe,benchmark_sharpe,strategy_max_drawdown,benchmark_max_drawdown,n_obs,roc_auc,model,split,train_rows,test_rows
0.5530612244897959,0.3003194888178914,0.47835823537403366,-0.07340503232219697,0.9218840711099453,0.19494179912429915,-0.16152798021486503,-0.6860348961877272,490,0.5195628710199676,logreg_tech,1,492,490
0.5224489795918368,0.36065573770491804,0.9008105226780674,2.4881323257230834,1.9156694190361359,1.9347708798303858,-0.18168063164332293,-0.34273493184800563,490,0.5373897353648757,logreg_tech,2,982,490
0.5040816326530613,0.4796573875802998,0.5528015970687858,0.865586329909219,1.244727556928878,1.2234935177172197,-0.23462149216896167,-0.3834910081482057,490,0.5055343479637934,logreg_tech,3,1472,490
0.49795918367346936,0.5816326530612245,1.03842817603241,1.3304773913548877,1.1398997590371778,1.236120674221783,-0.37172217394712437,-0.4279948792994168,490,0.4853680611423974,logreg_tech,4,1962,490
0.5102040816326531,0.6116504854368932,0.010830015442763852,0.5680883346356742,0.19800534389734115,0.7462485688514519,-0.4790111149356251,-0.5146338762719316,490,0.49367682283378833,logreg_tech,5,2452,490
0.5530612244897959,0.3003194888178914,0.47835823537403366,-0.07340503232219697,0.9218840711099453,0.19494179912429915,-0.16152798021486503,-0.6860348961877272,490,0.5195628710199676,logreg_full,1,492,490
0.5224489795918368,0.36065573770491804,0.9008105226780674,2.4881323257230834,1.9156694190361359,1.9347708798303858,-0.18168063164332293,-0.34273493184800563,490,0.5373897353648757,logreg_full,2,982,490
0.5040816326530613,0.4796573875802998,0.5528015970687858,0.865586329909219,1.244727556928878,1.2234935177172197,-0.23462149216896167,-0.3834910081482057,490,0.5055343479637934,logreg_full,3,1472,490
0.4959183673469388,0.5777777777777777,0.9375728204678684,1.3304773913548877,1.0748878288723092,1.236120674221783,-0.3717221739471246,-0.4279948792994168,490,0.4837925717350496,logreg_full,4,1962,490
0.48775510204081635,0.5290806754221389,-0.32078517075674384,0.5680883346356742,-0.4541969626202213,0.7462485688514519,-0.4992877563225697,-0.5146338762719316,490,0.4839198673389056,logreg_full,5,2452,490
0.5285714285714286,0.34560906515580736,0.868207040745494,-0.07340503232219697,1.2918032633986691,0.19494179912429915,-0.23574642845140348,-0.6860348961877272,490,0.5038788451160281,xgb_full,1,492,490
0.5224489795918368,0.3675675675675676,0.5293115396044983,2.4881323257230834,1.1795165005339145,1.9347708798303858,-0.2640754020976076,-0.34273493184800563,490,0.5369553595295375,xgb_full,2,982,490
0.5244897959183673,0.49676025917926564,0.34901189299078084,0.865586329909219,0.9801550660810754,1.2234935177172197,-0.12208408799611192,-0.3834910081482057,490,0.5261547950457584,xgb_full,3,1472,490
0.5428571428571428,0.5502008032128514,0.9951742136174317,1.3304773913548877,1.4141615840856072,1.236120674221783,-0.3076670513062668,-0.4279948792994168,490,0.5448679270581925,xgb_full,4,1962,490
0.5,0.5663716814159292,-0.08682579845559979,0.5680883346356742,0.04416167052486578,0.7462485688514519,-0.4743145820203999,-0.5146338762719316,490,0.49140717910922765,xgb_full,5,2452,490
