model,accuracy,f1,roc_auc,strategy_cum_return,benchmark_cum_return,strategy_sharpe,benchmark_sharpe,strategy_max_drawdown,benchmark_max_drawdown,avg_test_rows
logreg_full,0.5126530612244898,0.4494982134606052,0.5060398786845184,0.5097516009664023,1.0357758698601334,0.9405943826654095,1.0671150879490279,-0.28976800685936877,-0.4709779183510574,490.0
logreg_tech,0.5175510204081633,0.4667831505202454,0.5083063676649645,0.5962457093192122,1.0357758698601334,1.0840372300018957,1.0671150879490279,-0.2857126785819798,-0.4709779183510574,490.0
xgb_full,0.5236734693877552,0.4653018753062842,0.5206528211717488,0.530975777700521,1.0357758698601334,0.9819596169248264,1.0671150879490279,-0.28077751037435794,-0.4709779183510574,490.0
