model,symbol,rows,hit_rate,strategy_cum_return,benchmark_cum_return,strategy_sharpe,benchmark_sharpe,strategy_max_drawdown,benchmark_max_drawdown
logreg_full,BTCUSD,911.0,0.5290889132821076,1.2894275219286868,3.6243666701134645,0.9805451768929502,1.2189686212638315,-0.33045230435170325,-0.35578435052239166
logreg_full,ETHUSD,912.0,0.5076754385964912,1.2812227228230895,2.1054345395595755,0.8077763059698713,0.8546309672095617,-0.48063062909395404,-0.4534422656078132
logreg_full,SPY,627.0,0.4960127591706539,0.09952494409699786,0.5344015080113329,0.5582249368617469,1.1848940734638298,-0.07144503261891633,-0.17021177565743395
logreg_tech,BTCUSD,911.0,0.5367727771679474,1.7445836697553951,3.6243666701134645,1.1241059720478255,1.2189686212638315,-0.33045230435170325,-0.35578435052239166
logreg_tech,ETHUSD,912.0,0.5131578947368421,1.966338372380294,2.1054345395595755,0.9856576248651198,0.8546309672095617,-0.37571141321555934,-0.4534422656078132
logreg_tech,SPY,627.0,0.4960127591706539,0.10436048742054815,0.5344015080113329,0.5718593787771767,1.1848940734638298,-0.0714450326189161,-0.17021177565743395
xgb_full,BTCUSD,911.0,0.5257958287596048,0.8764510935234289,3.6243666701134645,0.8731167759579397,1.2189686212638315,-0.17739309466004716,-0.35578435052239166
xgb_full,ETHUSD,912.0,0.5219298245614035,1.83565294922446,2.1054345395595755,0.9793589212491357,0.8546309672095617,-0.5301475695931848,-0.4534422656078132
xgb_full,SPY,627.0,0.5231259968102073,0.31971720414630256,0.5344015080113329,1.1091200785155606,1.1848940734638298,-0.08263792494645039,-0.17021177565743395
