symbol,config,rows,risk_fraction,long_threshold,allow_short,total_return_pct,benchmark_return_pct,cagr_pct,benchmark_cagr_pct,sharpe,benchmark_sharpe,max_drawdown_pct,benchmark_max_drawdown_pct,trade_events,win_rate_pct
BTCUSD,aggressive,365,0.9,0.52,True,-63.729020314679715,111.48109475418168,-50.35049712699418,67.71466639981658,-1.5794591210958118,1.3893334781525588,-68.89008239004643,-26.213255370753952,57,48.467966573816156
BTCUSD,conservative,365,0.25,0.58,False,2.7355513570519907,111.48109475418168,1.8807511786175013,67.71466639981658,0.8774311549228292,1.3893334781525588,-1.3178796246673508,-26.213255370753952,28,68.75
BTCUSD,medium,365,0.5,0.55,False,6.792248034835935,111.48109475418168,4.641544575168233,67.71466639981658,0.9894921076646184,1.3893334781525588,-2.6357592493346904,-26.213255370753952,38,61.904761904761905
SPY,aggressive,251,0.9,0.52,True,-0.5246824034013664,23.998730561726987,-0.5267672561812597,24.10504012583605,0.007018091797046239,1.7818279845647234,-10.660983015642511,-8.405622632156584,119,49.557522123893804
SPY,conservative,251,0.25,0.58,False,1.242785353370901,23.998730561726987,1.2477674525881666,24.10504012583605,0.6264094826672859,1.7818279845647234,-1.4815720573401525,-8.405622632156584,102,56.52173913043478
SPY,medium,251,0.5,0.55,False,2.643046923864345,23.998730561726987,2.653715492952724,24.10504012583605,0.6170568020477124,1.7818279845647234,-2.5610015960327637,-8.405622632156584,105,56.03448275862068
