datetime,portfolio_value,cash,positions,return
2024-10-22 08:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",
2024-10-22 09:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2024-10-22 09:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2024-10-23 09:30:00-04:00,100007.14074707031,80244.30041503906,"[{'asset': USD, 'quantity': 80244.30041503906}, {'asset': SPY, 'quantity': 34.0}]",7.140747070311093e-05
2024-10-24 09:30:00-04:00,99963.61975097656,80244.30041503906,"[{'asset': USD, 'quantity': 80244.30041503906}, {'asset': SPY, 'quantity': 34.0}]",-0.00043517888591393383
2024-10-25 09:30:00-04:00,100015.64074707031,80244.30041503906,"[{'asset': USD, 'quantity': 80244.30041503906}, {'asset': SPY, 'quantity': 34.0}]",0.0005203992834927895
2024-10-26 09:30:00-04:00,100015.64074707031,80244.30041503906,"[{'asset': USD, 'quantity': 80244.30041503906}, {'asset': SPY, 'quantity': 34.0}]",0.0
2024-10-26 09:29:00-04:00,100015.64074707031,80244.30041503906,"[{'asset': USD, 'quantity': 80244.30041503906}, {'asset': SPY, 'quantity': 34.0}]",0.0
2024-10-28 08:30:00-04:00,100052.02099609375,80244.30041503906,"[{'asset': USD, 'quantity': 80244.30041503906}, {'asset': SPY, 'quantity': 34.0}]",0.0003637455977054671
2024-10-28 09:30:00-04:00,100052.02099609375,80244.30041503906,"[{'asset': USD, 'quantity': 80244.30041503906}, {'asset': SPY, 'quantity': 34.0}]",0.0
2024-10-28 09:30:00-04:00,100052.02099609375,80244.30041503906,"[{'asset': USD, 'quantity': 80244.30041503906}, {'asset': SPY, 'quantity': 34.0}]",0.0
2024-10-29 09:30:00-04:00,99959.19958496094,80244.30041503906,"[{'asset': USD, 'quantity': 80244.30041503906}, {'asset': SPY, 'quantity': 34.0}]",-0.0009277314961627647
2024-10-30 09:30:00-04:00,100008.15966796875,80244.30041503906,"[{'asset': USD, 'quantity': 80244.30041503906}, {'asset': SPY, 'quantity': 34.0}]",0.0004898006707847458
2024-10-31 09:30:00-04:00,99813.34033203125,80244.30041503906,"[{'asset': USD, 'quantity': 80244.30041503906}, {'asset': SPY, 'quantity': 34.0}]",-0.001948034406235588
2024-11-01 15:59:00-04:00,99669.1806640625,80244.30041503906,"[{'asset': USD, 'quantity': 80244.30041503906}, {'asset': SPY, 'quantity': 34.0}]",-0.0014442925914431859
2024-11-01 16:00:00-04:00,99669.1806640625,80244.30041503906,"[{'asset': USD, 'quantity': 80244.30041503906}, {'asset': SPY, 'quantity': 34.0}]",0.0
