datetime,portfolio_value,cash,positions,return
2024-10-25 08:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",
2024-10-25 09:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2024-10-25 09:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2024-10-26 09:30:00-04:00,100000.0,80228.65966796875,"[{'asset': USD, 'quantity': 80228.65966796875}, {'asset': SPY, 'quantity': 34.0}]",0.0
2024-10-26 09:29:00-04:00,100000.0,80228.65966796875,"[{'asset': USD, 'quantity': 80228.65966796875}, {'asset': SPY, 'quantity': 34.0}]",0.0
2024-10-28 08:30:00-04:00,100036.38024902344,80228.65966796875,"[{'asset': USD, 'quantity': 80228.65966796875}, {'asset': SPY, 'quantity': 34.0}]",0.0003638024902343773
2024-10-28 09:30:00-04:00,100036.38024902344,80228.65966796875,"[{'asset': USD, 'quantity': 80228.65966796875}, {'asset': SPY, 'quantity': 34.0}]",0.0
2024-10-28 09:30:00-04:00,100036.38024902344,80228.65966796875,"[{'asset': USD, 'quantity': 80228.65966796875}, {'asset': SPY, 'quantity': 34.0}]",0.0
2024-10-29 09:30:00-04:00,99943.55883789062,80228.65966796875,"[{'asset': USD, 'quantity': 80228.65966796875}, {'asset': SPY, 'quantity': 34.0}]",-0.0009278765475294604
2024-10-30 09:30:00-04:00,99992.51892089844,80228.65966796875,"[{'asset': USD, 'quantity': 80228.65966796875}, {'asset': SPY, 'quantity': 34.0}]",0.0004898773225319175
2024-10-31 09:30:00-04:00,99797.69958496094,80228.65966796875,"[{'asset': USD, 'quantity': 80228.65966796875}, {'asset': SPY, 'quantity': 34.0}]",-0.0019483391161654318
2024-11-01 15:59:00-04:00,99653.53991699219,80228.65966796875,"[{'asset': USD, 'quantity': 80228.65966796875}, {'asset': SPY, 'quantity': 34.0}]",-0.0014445189475136289
2024-11-01 16:00:00-04:00,99653.53991699219,80228.65966796875,"[{'asset': USD, 'quantity': 80228.65966796875}, {'asset': SPY, 'quantity': 34.0}]",0.0
