time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-02 09:30:00-05:00,MLTrader,25d7e7291ac04f0a9013bc45f75691da,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:30:00-05:00,MLTrader,25d7e7291ac04f0a9013bc45f75691da,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,155.0,0.0
2020-01-03 09:30:00-05:00,MLTrader,6c007930bf814b839b79d442a354c3e8,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-03 09:30:00-05:00,MLTrader,9325404611324720ad6b1d16166adb3c,SPY,sell,stop,fill,1,day,0.0,1,stock,321.1600036621094,155.0,0.0
