time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-02 09:30:00-05:00,MLTrader,5ea33fb611914d66b353609e6cfde92c,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:30:00-05:00,MLTrader,5ea33fb611914d66b353609e6cfde92c,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,155.0,0.0
2020-01-03 09:30:00-05:00,MLTrader,96d7916fa12c4d2381efbac3568ec4b8,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-03 09:30:00-05:00,MLTrader,fad75629b44c4684bfb7735fa07a836e,SPY,sell,stop,fill,1,day,0.0,1,stock,321.1600036621094,155.0,0.0
